trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.95}",20,0,-118.02365086268098,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.8999999999999999}",25,18,-13.706516770251861,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.05, 'e': 0.8499999999999999}",25,0,-150.11174577117293,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.05, 'e': 0.7999999999999998}",20,0,-80.77428729500375,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.7499999999999998}",20,0,-180.70247102672704,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
6,False,"{'a': 0.05, 'e': 0.6999999999999997}",30,0,-84.28272884642743,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.6499999999999997}",25,0,-38.57363942933476,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.5999999999999996}",20,0,-116.09823296692906,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.5499999999999996}",20,0,-100.28986908848232,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.4999999999999996}",30,0,-34.58773176279733,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.4499999999999996}",25,0,-108.2565800228151,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.05, 'e': 0.39999999999999963}",20,0,12.580607470638288,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.34999999999999964}",25,0,-94.88645792838054,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.29999999999999966}",25,0,-27.15692891337456,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.24999999999999967}",25,0,-1.5544890401490319,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.19999999999999968}",30,0,-272.1095041412292,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 6}",0
17,False,"{'a': 0.05, 'e': 0.1499999999999997}",35,0,-143.24128421775555,"{0: 26, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.05, 'e': 0.09999999999999969}",25,0,-73.71463787088571,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.05, 'e': 0.049999999999999684}",25,0,25.24485480631793,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.05, 'e': -3.191891195797325e-16}",25,4,13.54820350587886,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-123.91538742875657,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-8.290522727809137,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-42.465178721720235,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,9.079585813887034,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-26.527712695662668,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-27.58952643323731,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-64.04156051588588,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-30.37498943248993,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-25.71945965580486,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,10.633359193053224,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
