trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.95}",30,0,-221.88060221612167,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
2,False,"{'a': 0.05, 'e': 0.8999999999999999}",20,0,-102.53128870557259,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.8499999999999999}",30,0,-74.53813378919467,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.7999999999999998}",30,0,-42.36827017373629,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.7499999999999998}",20,0,-86.36502861595883,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.6999999999999997}",20,0,-86.51842196753235,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.6499999999999997}",25,9,-48.00014972186035,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.05, 'e': 0.5999999999999996}",20,0,-42.03680703887976,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.05, 'e': 0.5499999999999996}",20,0,-56.80288308237886,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.4999999999999996}",20,0,-79.3738935391528,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.4499999999999996}",20,0,-42.75859635869952,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.39999999999999963}",30,0,-134.89745837380704,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.34999999999999964}",25,0,-57.0920754891539,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.29999999999999966}",30,4,-144.1252380908264,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 3}",1
15,False,"{'a': 0.05, 'e': 0.24999999999999967}",20,0,-55.958381537158914,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.19999999999999968}",20,0,-173.03721376959984,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.05, 'e': 0.1499999999999997}",20,12,7.446810268568503,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.05, 'e': 0.09999999999999969}",20,0,-139.54472650653668,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.05, 'e': 0.049999999999999684}",20,0,-81.08757678934724,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.05, 'e': -3.191891195797325e-16}",20,0,-122.69866697977722,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-26.448727917840184,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-159.75126632703504,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-179.45385361351978,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-107.96893426242636,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-89.3107708152577,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-67.32590630504517,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-52.34562659100403,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-108.54022270887202,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-2.107536268126004,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-144.59506500702233,"{0: 8, 1: 7, 2: 2, 3: 1, 4: 2}",0
