trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.1725604779291,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.85622611595097,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.3444361388318,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,6,-0.21875072259159545,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.14618214886758,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.11661279907037,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.31305175836845,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.39457821522898,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.484293772545186,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.78858596927303,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,2,-71.96481464049266,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.70055650000151,"{0: 17, 1: 7, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-237.0305005261403,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.72682516681269,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.49817557782047,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,13,-89.23610200193949,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-229.40189217836405,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.43501359086717,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-214.45614836418957,"{0: 8, 1: 0, 2: 8, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.7330439963558,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.41277447057397,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.41057386872083,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.286979357705924,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,12,-50.05811553099873,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.77136129443431,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.25837756564425,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-129.72095882540282,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.82970780896187,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.70381674576004,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-12.412789528707167,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
